HOTEL MAHESH,3star,CHENNAI,20.08,1600
HOTEL KING,4star,CHENNAI,20.08,2300
HOTEL BLUE STAR,5star,CHENNAI,20.08,3900
HOTEL SANKRANTI,3star,MYSORE,20.08,1500
HOTEL LEMON TREE,4star,MYSORE,20.08,1900
HOTEL DECCAN,5star,MYSORE,20.08,3200
HOTEL SAI,3star,PANAJI,20.08,1400
HOTEL STAR,4star,PANAJI,20.08,2100
HOTEL GRAND,5star,PANAJI,20.08,3300
HOTEL RAM,3star,KOCHI,20.08,1600
HOTEL SHIVA,4star,KOCHI,20.08,1900
HOTEL GOLD GRAND,5star,KOCHI,20.08,3300
HOTEL BHAVANI,3star,KOLKATA,20.08,1200
HOTEL SHAKTI,4star,KOLKATA,20.08,1900
HOTEL TEJ,5star,KOLKATA,20.08,3300
HOTEL CAPITAL,3star,DELHI,20.08,1900
HOTEL KRISHNA,4star,DELHI,20.08,2300
HOTEL RAINBOW,5star,DELHI,20.08,3300
